dataset,class,is_target,model,simple_gap,fr
cifar10,0,0,original,0.05500000000000005,0.007000000000000006
cifar10,0,0,unlearned,0.058499999999999996,0.031200000000000006
cifar10,0,0,retrain,0.031500000000000083,0.21220000000000006
cifar10,1,0,original,0.028000000000000025,0.0021999999999999797
cifar10,1,0,unlearned,0.01849999999999996,0.00019999999999997797
cifar10,1,0,retrain,0.014500000000000068,0.20199999999999996
cifar10,2,0,original,0.04800000000000004,0.0016000000000000458
cifar10,2,0,unlearned,0.04349999999999998,0.0013999999999999568
cifar10,2,0,retrain,0.022499999999999853,0.20040000000000002
cifar10,3,0,original,0.08550000000000002,0.0006000000000000449
cifar10,3,0,unlearned,0.09849999999999981,0.007800000000000029
cifar10,3,0,retrain,0.038000000000000034,0.6304000000000001
cifar10,4,1,original,0.044499999999999984,0.00880000000000003
cifar10,4,1,unlearned,0.016000000000000014,1.0
cifar10,4,1,retrain,0.016499999999999904,1.0
cifar10,5,0,original,0.052000000000000046,0.0046000000000000485
cifar10,5,0,unlearned,0.03649999999999998,0.0041999999999999815
cifar10,5,0,retrain,0.019500000000000073,0.22140000000000004
cifar10,6,0,original,0.02400000000000002,0.008600000000000052
cifar10,6,0,unlearned,0.02000000000000013,0.009199999999999986
cifar10,6,0,retrain,0.017000000000000126,0.12
cifar10,7,0,original,0.03749999999999998,0.0026000000000000467
cifar10,7,0,unlearned,0.02200000000000002,0.00019999999999997797
cifar10,7,0,retrain,0.014000000000000012,0.08440000000000003
cifar10,8,0,original,0.026999999999999913,0.006800000000000028
cifar10,8,0,unlearned,0.018500000000000072,0.0021999999999999797
cifar10,8,0,retrain,0.0050000000000000044,0.23819999999999997
cifar10,9,0,original,0.045499999999999985,0.0048000000000000265
cifar10,9,0,unlearned,0.050999999999999934,0.006000000000000005
cifar10,9,0,retrain,0.026999999999999913,0.26780000000000004
cifar100,0,0,original,0.050000000000000044,0.008000000000000007
cifar100,0,0,unlearned,0.030000000000000027,0.0020000000000000018
cifar100,0,0,retrain,0.015000000000000013,1.0
cifar100,1,0,original,0.050000000000000044,0.014000000000000012
cifar100,1,0,unlearned,0.05999999999999994,0.030000000000000027
cifar100,1,0,retrain,0.020000000000000018,0.944
cifar100,2,0,original,0.1449999999999999,0.006000000000000005
cifar100,2,0,unlearned,0.10499999999999998,0.01200000000000001
cifar100,2,0,retrain,0.05499999999999994,0.892
cifar100,3,0,original,0.16500000000000004,0.0040000000000000036
cifar100,3,0,unlearned,0.16000000000000014,0.0020000000000000018
cifar100,3,0,retrain,0.025000000000000022,0.984
cifar100,4,0,original,0.17000000000000004,0.0020000000000000018
cifar100,4,0,unlearned,0.17000000000000004,0.0
cifar100,4,0,retrain,0.06999999999999995,1.0
cifar100,5,0,original,0.11499999999999999,0.0020000000000000018
cifar100,5,0,unlearned,0.11499999999999999,0.008000000000000007
cifar100,5,0,retrain,0.08000000000000007,0.972
cifar100,6,0,original,0.050000000000000044,0.0040000000000000036
cifar100,6,0,unlearned,0.04499999999999993,0.0040000000000000036
cifar100,6,0,retrain,0.015000000000000013,0.98
cifar100,7,0,original,0.09499999999999997,0.018000000000000016
cifar100,7,0,unlearned,0.11499999999999999,0.03600000000000003
cifar100,7,0,retrain,0.04500000000000004,0.99
cifar100,8,0,original,0.03500000000000003,0.02200000000000002
cifar100,8,0,unlearned,0.039999999999999925,0.020000000000000018
cifar100,8,0,retrain,0.08499999999999996,0.776
cifar100,9,0,original,0.040000000000000036,0.014000000000000012
cifar100,9,0,unlearned,0.040000000000000036,0.014000000000000012
cifar100,9,0,retrain,0.0050000000000000044,0.992
cifar100,10,0,original,0.22999999999999998,0.0
cifar100,10,0,unlearned,0.26,0.0020000000000000018
cifar100,10,0,retrain,0.07499999999999996,0.948
cifar100,11,1,original,0.245,0.0020000000000000018
cifar100,11,1,unlearned,0.15000000000000002,0.998
cifar100,11,1,retrain,0.04499999999999993,0.998
cifar100,12,0,original,0.09499999999999997,0.0
cifar100,12,0,unlearned,0.08999999999999997,0.0020000000000000018
cifar100,12,0,retrain,0.0050000000000000044,0.978
cifar100,13,0,original,0.20999999999999996,0.008000000000000007
cifar100,13,0,unlearned,0.19999999999999996,0.018000000000000016
cifar100,13,0,retrain,0.08499999999999996,0.99
cifar100,14,0,original,0.11999999999999988,0.0040000000000000036
cifar100,14,0,unlearned,0.12499999999999989,0.0040000000000000036
cifar100,14,0,retrain,0.04999999999999993,0.9
cifar100,15,0,original,0.08000000000000007,0.0020000000000000018
cifar100,15,0,unlearned,0.08500000000000008,0.0020000000000000018
cifar100,15,0,retrain,0.015000000000000013,0.65
cifar100,16,0,original,0.09999999999999998,0.014000000000000012
cifar100,16,0,unlearned,0.09999999999999998,0.02400000000000002
cifar100,16,0,retrain,0.009999999999999953,0.998
cifar100,17,0,original,0.04499999999999993,0.016000000000000014
cifar100,17,0,unlearned,0.039999999999999925,0.016000000000000014
cifar100,17,0,retrain,0.0050000000000000044,0.98
cifar100,18,0,original,0.16000000000000003,0.0040000000000000036
cifar100,18,0,unlearned,0.14,0.0040000000000000036
cifar100,18,0,retrain,0.030000000000000027,0.988
cifar100,19,0,original,0.16499999999999992,0.006000000000000005
cifar100,19,0,unlearned,0.125,0.0020000000000000018
cifar100,19,0,retrain,0.16500000000000004,0.972
cifar100,20,0,original,0.08500000000000008,0.0020000000000000018
cifar100,20,0,unlearned,0.09499999999999997,0.040000000000000036
cifar100,20,0,retrain,0.09999999999999998,0.984
cifar100,21,0,original,0.040000000000000036,0.018000000000000016
cifar100,21,0,unlearned,0.040000000000000036,0.020000000000000018
cifar100,21,0,retrain,0.03500000000000003,0.802
cifar100,22,0,original,0.07499999999999996,0.008000000000000007
cifar100,22,0,unlearned,0.07499999999999996,0.010000000000000009
cifar100,22,0,retrain,0.04500000000000004,0.972
cifar100,23,0,original,0.09499999999999997,0.008000000000000007
cifar100,23,0,unlearned,0.07499999999999996,0.006000000000000005
cifar100,23,0,retrain,0.12,0.984
cifar100,24,0,original,0.06999999999999995,0.0020000000000000018
cifar100,24,0,unlearned,0.06500000000000006,0.0020000000000000018
cifar100,24,0,retrain,0.04499999999999993,1.0
cifar100,25,0,original,0.135,0.0020000000000000018
cifar100,25,0,unlearned,0.17499999999999993,0.006000000000000005
cifar100,25,0,retrain,0.07000000000000006,0.968
cifar100,26,0,original,0.11499999999999999,0.008000000000000007
cifar100,26,0,unlearned,0.1100000000000001,0.010000000000000009
cifar100,26,0,retrain,0.09499999999999997,0.956
cifar100,27,0,original,0.17999999999999994,0.0020000000000000018
cifar100,27,0,unlearned,0.17500000000000004,0.0020000000000000018
cifar100,27,0,retrain,0.12499999999999989,0.976
cifar100,28,0,original,0.050000000000000044,0.008000000000000007
cifar100,28,0,unlearned,0.050000000000000044,0.010000000000000009
cifar100,28,0,retrain,1.1102230246251565e-16,0.994
cifar100,29,0,original,0.1449999999999999,0.010000000000000009
cifar100,29,0,unlearned,0.15000000000000002,0.014000000000000012
cifar100,29,0,retrain,0.025000000000000022,0.99
cifar100,30,0,original,0.15999999999999992,0.0040000000000000036
cifar100,30,0,unlearned,0.135,0.0
cifar100,30,0,retrain,0.08500000000000008,0.998
cifar100,31,0,original,0.11499999999999999,0.0020000000000000018
cifar100,31,0,unlearned,0.11499999999999999,0.0
cifar100,31,0,retrain,0.040000000000000036,0.9359999999999999
cifar100,32,0,original,0.16000000000000003,0.0
cifar100,32,0,unlearned,0.17500000000000004,0.0
cifar100,32,0,retrain,0.04999999999999999,0.978
cifar100,33,0,original,0.20999999999999996,0.0020000000000000018
cifar100,33,0,unlearned,0.18499999999999994,0.0
cifar100,33,0,retrain,0.025000000000000022,0.89
cifar100,34,0,original,0.08499999999999996,0.0040000000000000036
cifar100,34,0,unlearned,0.08999999999999997,0.0040000000000000036
cifar100,34,0,retrain,0.050000000000000044,0.994
cifar100,35,0,original,0.18000000000000005,0.0040000000000000036
cifar100,35,0,unlearned,0.20499999999999996,0.0020000000000000018
cifar100,35,0,retrain,0.05500000000000005,1.0
cifar100,36,0,original,0.08999999999999997,0.0020000000000000018
cifar100,36,0,unlearned,0.08499999999999985,0.0020000000000000018
cifar100,36,0,retrain,0.09999999999999987,0.994
cifar100,37,0,original,0.11999999999999988,0.0
cifar100,37,0,unlearned,0.135,0.0040000000000000036
cifar100,37,0,retrain,0.030000000000000027,0.984
cifar100,38,0,original,0.08499999999999996,0.006000000000000005
cifar100,38,0,unlearned,0.11999999999999988,0.008000000000000007
cifar100,38,0,retrain,0.03499999999999992,0.952
cifar100,39,0,original,0.039999999999999925,0.0040000000000000036
cifar100,39,0,unlearned,0.03499999999999992,0.0020000000000000018
cifar100,39,0,retrain,0.0050000000000000044,0.944
cifar100,40,0,original,0.09500000000000008,0.0020000000000000018
cifar100,40,0,unlearned,0.12,0.01200000000000001
cifar100,40,0,retrain,0.06500000000000006,0.992
cifar100,41,0,original,0.11499999999999999,0.0040000000000000036
cifar100,41,0,unlearned,0.11499999999999999,0.008000000000000007
cifar100,41,0,retrain,0.0,0.752
cifar100,42,0,original,0.08499999999999996,0.010000000000000009
cifar100,42,0,unlearned,0.08499999999999996,0.0
cifar100,42,0,retrain,0.010000000000000009,0.966
cifar100,43,0,original,0.09499999999999997,0.0020000000000000018
cifar100,43,0,unlearned,0.09499999999999997,0.0020000000000000018
cifar100,43,0,retrain,0.02000000000000013,0.988
